Id,Idade,Sexo,UsaRedesSociais,DificuldadeConcentração,ComparaçãoSucesso,MudancaInteresse,ProblemasSono,TentativaReduçãoCelular,Aposentada_recentemente,Bolsista,Dedicação_exclusiva_à_família,Doutorado,Empreendedor,Empregado_com_carteira_assinada,Estagiário,Estudante,Freelancer,Graduação,Mestrado,Professor_PSS,Pós-graduação,Voluntário,Facebook,Instagram,Snapchat,TikTok,Twitter,WhatsApp,YouTube,Contas_de_celebridades_e_influenciadores,Contas_de_esportes,"Contas_de_hobbies_e_interesses_específicos_(música,_culinária,_viagens,_etc.)",Contas_de_humor_e_memes,Contas_de_marcas_e_empresas,Contas_de_notícias_e_política,Contas_pessoais_de_amigos_e_familiares,Impressão_3d_e_prototipagem,"Jogos,_séries,_filmes",Pesquisas,sobre_trabalho,Buscar_ajuda_profissional,Desativar_notificações,Desinstalar_aplicativos,Limitar_o_tempo_de_uso,Usar_aplicativos_de_controle_de_tela,Desafios_Redução_Tedio,Desafios_Redução_Ansiedade,Desafios_Redução_Necessidade,Desafios_Redução_Adaptar_Restrição_Uso,Desafios_Redução_Falta_de_Informações,Desafios_Redução_Nenhum,TempoRedesSociais_encoded,FrequenciaUsoRedes_encoded,DistraçãoRedes_encoded,SentimentoComparação_encoded,BuscaValidação_encoded,DescriçãoMudançaInteresse_encoded,MotivaçãoRedução_encoded,SucessoRedução_encoded,NivelDeDistracao,AnsiedadeRedes,PreocupaçãoNegativa,FrequenciaDepressão
15,21,1,1,1,3,4,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,2.3212481594960086,2.1375018517405957,2.2961085348760646,2.288628289721589,2.207244820231755,2.235694675182942,2.2977340879360875,2.236544083091104,1.765369511625355,4,4,2
36,19,0,1,0,1,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.460961146949919,2.0895615272808077,1.9405272494979278,2.195599967974693,2.1640652698365392,2.2134047545240967,2.350958285490895,2.3398854345388367,1.9801757498326424,0,2,2
51,18,0,1,1,1,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2.205245213243705,2.0895615272808077,2.141811683700694,2.0611292572896955,2.052101108090551,2.332826002755575,2.0983770814470004,2.143644461046582,2.0472705612335647,1,2,2
5,23,0,1,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2.3922387263867613,2.379606906251663,2.473985058961076,2.373339386017066,2.4685630405926844,2.4143016366649084,2.2566679308614876,2.2769931295630537,1.8246616863203586,0,3,1
19,25,0,1,0,5,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0962996588983698,2.064545353383709,2.0962996588983698,1.87218636671023,2.1147288152802317,2.025662602439969,2.025662602439969,2.025662602439969,2.36543321963279,0,5,4
50,23,0,1,1,2,3,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.104687064119319,2.1375018517405957,2.2492013175498085,2.0237587226888523,2.33378424156124,2.190171694770497,2.1529360222190137,2.1529360222190137,2.7497337725166027,3,5,2
10,25,0,1,0,2,3,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2.3922387263867613,2.379606906251663,2.303887271700053,2.2169422487443198,2.1734212993931936,2.2414619783894536,2.2566679308614876,2.2769931295630537,2.101295757233351,2,2,1
8,21,0,1,1,4,5,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2.164550541242786,2.0673492897177357,2.070466179157944,2.186580511498319,2.1499607340779496,2.2589936384308773,2.034968088291367,2.05651152770276,2.3568220597193146,1,4,2
35,32,1,1,1,3,4,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,2.4256369503744892,2.379606906251663,2.473985058961076,2.373339386017066,2.2769931295630537,2.4143016366649084,2.2566679308614876,2.2769931295630537,1.4913283529870254,2,4,2
6,21,1,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.436522785678032,2.379606906251663,2.36766343948588,2.373339386017066,2.1734212993931936,2.2414619783894536,2.3051422844840417,2.3051422844840417,2.1225544798286267,3,4,2
48,31,0,1,1,5,1,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2.2981263472515776,2.1846172142875657,2.2641550793030265,2.4019812613058074,2.460961146949919,2.2134047545240967,2.350958285490895,2.2510580627119405,2.7547183597676757,4,5,3
21,22,0,1,1,2,5,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2.104687064119319,2.1375018517405957,2.2961085348760646,2.160243175775237,2.0837015507298364,2.235694675182942,2.2977340879360875,2.160243175775237,2.098702844958688,4,5,3
55,24,0,1,0,2,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.157813509186836,2.1374976788040425,1.9759844294997415,1.87218636671023,2.0869799381241334,2.1934632813854225,2.025662602439969,2.025662602439969,1.6586614764999137,1,3,1
43,21,1,1,1,4,2,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.297594469296869,2.3421052631578947,2.473985058961076,2.4256369503744892,2.1734212993931936,2.4143016366649084,2.2566679308614876,2.2769931295630537,1.4913283529870254,2,5,4
56,23,0,1,1,4,4,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2.1195584774670757,2.0673492897177357,2.303869610813874,2.186580511498319,2.067003841580713,2.2589936384308773,2.034968088291367,2.05651152770276,2.4346232036046245,1,4,3
33,32,0,1,0,3,3,4,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.3306866237385804,2.379606906251663,2.303887271700053,2.373339386017066,2.1734212993931936,2.3467165671552914,2.2566679308614876,2.391218293362421,1.7679624239000178,2,4,1
32,21,0,1,1,3,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.104687064119319,2.0547671486672137,2.2961085348760646,2.288628289721589,2.0837015507298364,2.235694675182942,2.1529360222190137,2.1529360222190137,1.4320361782920215,2,5,3
60,18,1,1,0,3,2,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.3922387263867613,2.379606906251663,2.473985058961076,2.4072586763151578,2.1734212993931936,2.4143016366649084,2.2566679308614876,2.2769931295630537,2.157995019653692,2,3,2
61,21,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3447669341334234,2.0673492897177357,2.2733837176861873,2.186580511498319,2.2844314447629475,2.2589936384308773,2.2535308549741213,2.2535308549741213,1.424461239228729,4,4,4
17,28,0,1,1,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2.157813509186836,2.1374976788040425,1.9759844294997415,2.0314446015019207,2.1147288152802317,2.025662602439969,2.0789473684210527,2.0782756837493284,1.6586614764999137,2,2,2
29,20,1,1,1,3,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2.1195584774670757,2.405956938978407,2.303869610813874,2.186580511498319,2.1499607340779496,2.2378325728448196,2.034968088291367,2.240677794382777,2.1012898702712914,2,2,2
28,42,1,1,1,2,2,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0427306139226786,2.1846172142875657,2.4140609244678704,2.0611292572896955,2.052101108090551,2.119180655084328,2.219152594806211,2.219152594806211,2.4713536414892903,1,4,2
26,30,1,1,0,3,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.1195584774670757,2.1261506316839265,2.1156977669919397,2.1760305507896436,2.2844314447629475,2.1000069147534903,2.30231811974881,2.240677794382777,1.705232588997313,2,4,2
47,24,1,1,0,2,3,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2.205245213243705,2.0895615272808077,2.4140609244678704,2.4019812613058074,2.3951279646938115,2.332826002755575,2.0983770814470004,2.143644461046582,2.138020308155957,1,4,2
13,28,1,1,1,5,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1.9915751438611662,2.1374976788040425,2.2706458631699804,2.2353198889049324,2.0869799381241334,1.9973916031776608,2.2150146160368704,2.0782756837493284,2.756881954389993,4,2,2
34,26,0,1,1,5,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2.0962996588983698,2.064545353383709,2.0962996588983698,2.210485772428794,2.198784121123814,2.025662602439969,2.0789473684210527,2.068675646760816,2.6987665529661236,4,5,4
58,24,0,1,1,1,1,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1.9915751438611662,2.1374976788040425,2.2706458631699804,1.87218636671023,2.1147288152802317,2.1934632813854225,2.2150146160368704,2.092634606346904,2.756881954389993,1,3,4
46,21,0,1,0,3,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0962996588983698,2.064545353383709,1.9759844294997415,2.0314446015019207,2.1375155629062514,2.1934632813854225,2.025662602439969,2.025662602439969,1.6586614764999137,4,4,3
39,43,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0997773053104503,2.1261506316839265,2.1784392873101543,2.141533226897972,2.067003841580713,2.2589936384308773,2.2535308549741213,2.2535308549741213,2.3928130957700513,0,1,0
31,21,0,1,0,3,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0529740685561544,2.0547671486672137,2.0871545345417712,2.3632435632125275,2.0465151686122955,2.235694675182942,2.1529360222190137,2.1529360222190137,1.3623848448472569,0,3,2
49,23,0,1,0,1,3,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2.0529740685561544,2.0547671486672137,2.0871545345417712,2.160243175775237,2.0465151686122955,2.1141640734011378,2.0852025477251113,2.135366590211055,1.3623848448472569,1,2,1
3,33,1,1,0,2,4,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.2977340879360875,2.315176767230819,2.104687064119319,2.0237587226888523,2.0837015507298364,2.190171694770497,2.1529360222190137,2.1529360222190137,2.034895688039773,2,5,2
23,36,0,1,1,4,2,3,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,2.104687064119319,2.1375018517405957,2.2961085348760646,2.3632435632125275,2.207244820231755,2.190171694770497,2.2977340879360875,2.160243175775237,1.4320361782920215,2,4,3
4,19,0,1,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.176113167114427,2.2011701765492915,2.303887271700053,2.2169422487443198,2.1734212993931936,2.3467165671552914,2.3051422844840417,2.3051422844840417,2.101295757233351,2,2,1
52,21,0,1,1,3,3,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.2977340879360875,2.315176767230819,2.2961085348760646,2.134668685537106,2.207244820231755,2.235694675182942,2.1529360222190137,2.1529360222190137,2.098702844958688,4,3,3
41,18,1,1,0,1,3,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0427306139226786,2.1846172142875657,2.141811683700694,2.0611292572896955,2.3951279646938115,2.119180655084328,2.219152594806211,2.219152594806211,1.7139372279002314,1,5,2
25,18,1,1,0,4,3,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.350958285490895,2.1846172142875657,2.2641550793030265,2.340073099602445,2.2981263472515776,2.2134047545240967,2.230769230769231,2.460961146949919,1.7547183597676757,3,5,2
54,20,1,1,0,4,4,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1.9449354009731157,2.064545353383709,2.0962996588983698,2.2353198889049324,2.0869799381241334,1.9973916031776608,2.2150146160368704,2.0782756837493284,2.36543321963279,3,5,2
12,26,0,1,1,5,3,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,2.1195584774670757,2.0673492897177357,2.303869610813874,2.186580511498319,2.067003841580713,2.2378325728448196,2.30231811974881,2.05651152770276,1.4346232036046247,2,3,4
24,57,1,1,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.3306866237385804,2.379606906251663,2.2377734613032265,2.2169422487443198,2.2769931295630537,2.4143016366649084,2.2566679308614876,2.2769931295630537,1.7459244871010755,1,2,1
20,25,1,1,1,4,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1375155629062514,2.064545353383709,1.9759844294997415,2.0314446015019207,2.1147288152802317,2.025662602439969,2.025662602439969,2.025662602439969,2.6586614764999137,1,5,4
64,22,0,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2.0427306139226786,2.0895615272808077,2.4140609244678704,2.0611292572896955,2.3951279646938115,2.332826002755575,2.0983770814470004,2.2510580627119405,1.47135364148929,0,4,2
22,59,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3447669341334234,2.405956938978407,2.2733837176861873,2.141533226897972,2.067003841580713,2.2589936384308773,2.2535308549741213,2.2535308549741213,2.424461239228729,2,1,0
9,16,1,1,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.157813509186836,2.1374976788040425,2.0962996588983698,2.0314446015019207,1.97504207475794,2.025662602439969,2.0221827940290638,2.0782756837493284,2.6987665529661236,2,1,1
44,19,0,1,1,2,4,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0427306139226786,2.1846172142875657,2.141811683700694,2.340073099602445,2.3951279646938115,2.332826002755575,2.219152594806211,2.219152594806211,2.0472705612335647,0,3,2
16,18,1,1,1,4,4,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2.3922387263867613,2.2011701765492915,2.473985058961076,2.373339386017066,2.389151845613218,2.4143016366649084,2.2566679308614876,2.2769931295630537,1.8246616863203586,2,3,2
30,17,0,1,0,3,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3212481594960086,2.1375018517405957,2.104687064119319,2.288628289721589,2.0837015507298364,2.190171694770497,2.1529360222190137,2.1529360222190137,1.3682290213731063,2,5,2
40,19,1,1,0,2,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2.2771628991440487,2.405956938978407,2.303869610813874,2.186580511498319,2.2844314447629475,2.2378325728448196,2.034968088291367,2.240677794382777,1.767956536937958,1,5,3
